,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Integrate_positions_x(t=-1000),Integrate_positions_y(t=-1000),Integrate_positions_z(t=-1000)
240,2017-02-25 01:22:59,29.5,13.5,25.4,12.2,-7.6,-9.3,2.2,65000000000.0,0.21,-135192752.25792682,59974948.491622776,-25973.70163041802
242,2017-02-18 19:48:29,6.2,60.4,38.0,24.2,-6.6,-22.7,-5.3,295000000000.0,0.79,-127707134.17340985,74326804.96196264,-17744.048519539996
245,2016-12-23 03:29:09,21.3,49.3,42.0,29.7,-22.4,16.4,-10.5,38000000000.0,0.13,-3310115.0026928056,147650235.8358378,-26504.522168672396
248,2016-11-24 14:10:34,-15.2,80.3,30.6,17.4,9.1,-11.2,9.7,138000000000.0,0.4,68724189.04581289,131527427.87163101,-20056.631214398123
250,2016-10-01 20:23:45,36.2,6.7,27.8,14.2,-10.0,3.9,-9.3,31000000000.0,0.11,148482459.05245423,23504848.98129817,-23904.253999436703
251,2016-09-22 04:57:49,-51.8,178.5,40.0,17.5,-2.5,-3.3,17.0,71000000000.0,0.22,150674815.76055524,-1133076.6705309665,-13455.838052842188
252,2016-09-14 15:01:51,-3.5,44.6,54.0,18.3,3.5,-16.2,7.7,76000000000.0,0.24,149512526.67767876,-20504740.807392497,-21098.343107552522
254,2016-08-11 05:59:58,-43.7,53.8,34.3,14.9,-0.7,-11.4,9.6,184000000000.0,0.52,114551964.15341485,-99502171.52709657,-13604.344002206346
257,2016-07-05 01:24:26,1.0,48.6,38.2,25.1,-10.3,-2.0,-22.8,153000000000.0,0.44,35357401.01715437,-147662367.75515762,-40356.81875722061
258,2016-06-27 10:02:42,15.8,-11.9,33.3,29.1,-29.1,1.5,0.7,458000000000.0,1.2,16293837.807891404,-150885261.34703395,-17499.00100889145
259,2016-06-05 06:12:55,-17.4,138.3,28.7,14.5,6.0,-11.9,5.7,331000000000.0,0.87,-39276375.00183321,-146098306.09215716,-21351.718886210627
262,2016-05-20 11:59:46,-32.8,15.1,30.6,20.8,5.4,-9.9,17.5,20000000000.0,0.073,-75901678.35891473,-130302710.88290665,-7095.831050745233
263,2016-05-16 10:09:41,3.2,6.6,41.7,12.2,-6.7,-3.3,-9.6,519000000000.0,1.3,-84611484.45443495,-124675009.89188854,-21853.101041687733
266,2016-04-18 11:59:10,20.7,-14.5,31.5,17.1,-3.5,2.2,-16.6,224000000000.0,0.62,-131285562.60617076,-71706580.23570533,-32197.58564959176
268,2016-04-10 14:57:53,22.0,149.0,35.2,15.1,4.7,-12.9,-6.4,655000000000.0,1.6,-139439406.9929192,-53242784.58068362,-26612.559176749495
269,2016-03-16 23:54:20,-49.2,-6.3,42.0,13.3,-7.6,9.1,6.0,32000000000.0,0.11,-148023877.61205053,9137131.105361361,-18335.581986417812
270,2016-03-03 01:32:43,-48.0,51.0,31.8,11.7,4.8,-7.1,7.9,58000000000.0,0.19,-141014459.4468143,44447535.14940663,-22238.793574115305
271,2016-02-23 03:59:13,32.3,67.2,44.0,17.9,-8.5,-1.6,-15.7,35000000000.0,0.12,-132143201.29368104,65762339.78237212,-37746.23623491314
273,2016-02-19 08:15:02,0.7,-11.6,39.4,15.5,-14.9,-0.5,4.1,202000000000.0,0.56,-127333464.14142963,74466971.05645487,-33731.80183739255
275,2016-02-06 13:55:09,-30.4,-25.5,31.0,15.6,2.7,14.5,5.0,6853000000000.0,13.0,-107268554.51811685,100911824.51065709,-28257.816476351425
276,2016-01-27 09:59:16,-45.8,53.6,37.0,11.5,-10.0,-4.4,3.6,50000000000.0,0.16,-87383179.27548493,118408904.31434739,-22895.240069763022
277,2016-01-21 16:44:54,-10.8,0.7,42.5,18.1,-3.8,-17.7,-1.2,46000000000.0,0.15,-74905813.43430863,126614745.74741864,-23625.489228996394
279,2015-12-21 02:32:48,5.9,143.0,42.2,12.1,6.4,-10.0,2.5,83000000000.0,0.26,4006058.82792715,147331898.14889458,-34851.5975355917
285,2015-10-13 12:23:08,-8.0,-52.5,38.9,12.9,-6.6,3.8,10.4,23000000000.0,0.082,141149057.34904176,50254452.199609175,-21122.429839349013
287,2015-10-10 09:57:51,-51.0,-21.1,51.8,11.8,-1.3,-5.1,10.6,36000000000.0,0.12,143752560.10989037,42697534.67821254,-20497.015319221817
291,2015-09-08 13:46:42,6.3,29.9,44.4,16.1,-11.5,-11.3,-0.9,20000000000.0,0.073,146382386.04094505,-37968506.23217463,-22988.058377965703
292,2015-09-07 01:41:19,14.5,98.9,29.3,21.0,16.8,-12.0,-3.8,1798000000000.0,3.9,145424093.2345487,-41689906.38330183,-22543.1519668999
293,2015-09-02 20:10:30,39.1,40.2,39.8,24.1,10.3,-12.2,-18.0,37000000000.0,0.13,142191606.37506294,-52006521.05559969,-30100.51960745588
295,2015-07-19 07:06:26,20.6,-87.6,22.0,17.8,9.4,13.0,7.8,23000000000.0,0.082,67400043.0044486,-136466775.11841756,-17241.872848421444
297,2015-07-04 01:40:11,38.6,103.1,46.3,49.0,0.9,-40.4,-27.7,56000000000.0,0.18,31024890.63150055,-149003107.9818994,-32171.623998545274
298,2015-06-14 03:03:06,6.3,124.1,32.4,31.9,-4.7,-17.8,-26.0,71000000000.0,0.22,-19202463.348021142,-150650539.89563605,-37795.70977811806
304,2015-05-10 07:45:01,-46.3,-179.3,29.6,12.2,11.2,0.9,4.7,143000000000.0,0.42,-98347743.89335354,-114233383.34015912,-11954.000526622336
305,2015-05-07 20:34:34,-21.5,-29.3,37.0,17.3,-16.2,-5.8,1.4,52000000000.0,0.17,-102940268.89413862,-109959816.21509194,-18307.812383925728
306,2015-04-30 10:21:01,-48.7,139.1,26.7,12.9,12.2,-4.2,0.9,105000000000.0,0.32,-115699571.811651,-95962188.04187068,-15734.628564305769
307,2015-04-21 01:42:51,37.7,-39.6,37.4,21.3,-15.3,12.8,7.4,88000000000.0,0.27,-129103972.45024955,-76158595.68288542,-14170.099426199858
309,2015-04-08 04:06:31,-25.5,51.5,36.3,19.2,8.0,-15.6,-7.9,173000000000.0,0.49,-142137930.97870132,-45819334.59910338,-25167.861822072566
311,2015-03-30 21:33:52,-36.1,-5.5,33.1,13.8,-13.7,-1.7,0.8,64000000000.0,0.2,-146822107.0159865,-25071103.57610553,-13970.154784587501
313,2015-03-11 06:18:59,8.0,119.1,35.2,19.9,5.5,-10.5,-16.0,72000000000.0,0.23,-145937403.2779588,25388448.891742922,-30439.986382195595
315,2015-03-04 04:30:05,-15.9,88.1,39.8,18.0,7.8,-16.0,-2.5,55000000000.0,0.18,-141427116.45192915,43167251.64924042,-24007.27954792784
316,2015-02-26 22:06:24,68.0,-149.0,33.7,21.1,5.6,-2.3,-20.2,188000000000.0,0.53,-136666099.2020393,55968302.15596759,-31091.06528435086
318,2015-02-17 13:19:50,-8.0,-11.2,39.0,28.8,-28.2,3.4,4.6,33000000000.0,0.11,-125352423.35293588,77538526.38085221,-36343.80925136352
320,2015-01-09 10:41:11,2.0,28.8,36.0,17.5,-10.7,-7.6,11.6,139000000000.0,0.41,-46543623.538894564,139301908.21327212,-22557.79075568467
321,2015-01-07 01:05:59,45.7,26.9,45.5,35.7,-35.4,1.8,-4.4,136000000000.0,0.4,-40531735.81187985,141134049.30282897,-17200.629767698367
322,2015-01-02 13:39:19,-31.1,140.0,38.1,18.1,4.5,-14.4,-10.0,20000000000.0,0.073,-29186540.27146534,143953473.3343589,-31075.690392401382
323,2014-12-13 02:53:52,86.7,-162.1,30.7,21.7,15.3,-13.3,-7.8,44000000000.0,0.15,23994070.652536478,145253882.27415022,-35859.195188429745
324,2014-12-12 06:48:11,33.5,144.9,26.3,12.0,11.5,-2.8,-2.2,33000000000.0,0.11,26150697.94484303,144887845.82554883,-31770.334426609697
326,2014-11-28 11:47:18,-45.8,-172.7,26.1,13.4,0.4,-1.4,13.3,700000000000.0,1.7,60568885.63147025,134618245.39808998,-17008.41526695041
328,2014-11-26 23:16:51,-69.5,-179.7,23.3,25.3,21.3,2.2,13.4,118000000000.0,0.35,64193518.19160805,133005043.72458062,-19021.35113668613
329,2014-11-26 17:40:16,-68.2,-24.0,37.0,19.9,-7.0,16.1,9.4,105000000000.0,0.32,64738628.05216207,132743430.82527743,-22546.676046788816
330,2014-11-04 20:13:30,43.1,115.8,22.2,16.0,-7.2,-12.1,-7.7,156000000000.0,0.45,110432078.50078557,99310590.32695222,-25668.776618581323
333,2014-10-14 10:25:03,-2.0,119.2,27.2,16.9,15.0,-6.9,-3.5,29000000000.0,0.1,139875624.85927802,52772669.634603664,-25394.55740609687
339,2014-08-23 06:29:41,-61.7,132.6,22.2,16.2,-2.3,5.7,16.5,3819000000000.0,7.6,131160333.45841491,-76184288.19565366,-5622.210057192851
342,2014-06-28 02:40:07,18.9,141.2,26.3,12.4,12.0,3.5,-10.5,245000000000.0,0.67,16578625.153901704,-151464079.76660413,-17458.348453158134
343,2014-06-26 05:54:41,-71.5,93.4,28.5,11.2,7.0,2.9,8.3,61000000000.0,0.2,11870510.47542791,-151877335.4677358,-7464.9516087512075
345,2014-05-16 20:06:28,-39.4,-95.9,30.8,18.0,2.9,13.4,-12.5,136000000000.0,0.4,-85059259.18296415,-125201770.26391357,-21026.890172110165
346,2014-05-16 12:42:48,-44.2,-176.2,44.0,16.5,14.4,4.6,6.5,309000000000.0,0.82,-85693320.54895523,-124730134.62285945,-4580.587021189178
347,2014-05-08 19:42:37,-36.9,87.3,35.4,19.0,-2.0,-16.1,9.9,1050000000000.0,2.4,-100938551.20647259,-112371175.25714292,-4476.755902206732
348,2014-03-29 13:45:41,-28.7,121.5,30.7,16.3,10.0,-12.7,2.2,39000000000.0,0.13,-147466180.89283642,-22591648.950180545,-4262.3286054589125
354,2014-01-12 16:00:48,2.9,64.4,37.0,16.2,-5.2,-15.1,2.6,78000000000.0,0.24,-55356338.474074185,135921384.12474796,-27509.24855667829
355,2014-01-08 17:05:34,-1.3,147.6,18.7,44.8,-3.4,-43.5,-10.3,31000000000.0,0.11,-45637356.66028743,139425605.48868135,-11791.418750122575
356,2013-12-23 08:30:57,39.5,2.0,34.3,15.1,-1.1,11.4,-9.9,147000000000.0,0.43,-3618877.583068846,146749130.4186135,-21937.22109606719
357,2013-12-08 03:10:09,32.8,-165.1,23.5,11.8,2.3,2.5,-11.3,64000000000.0,0.2,35821767.904364616,142627109.1896861,-22861.735794355292
358,2013-11-21 01:50:35,44.7,35.3,59.3,12.4,-5.0,-11.0,-2.7,75000000000.0,0.23,76880337.20840004,125928558.58289841,-19445.56064919213
359,2013-10-12 16:06:45,-19.1,-25.0,22.2,12.8,-8.0,8.4,-5.5,1610000000000.0,3.5,140977467.6599514,48960561.32160846,-16954.224943048215
364,2013-07-31 03:50:14,-31.8,137.1,29.1,17.8,17.7,-2.3,-0.1,69000000000.0,0.22,93338989.92239216,-120169070.59849647,-6112.260251869075
365,2013-07-30 02:36:58,-50.2,90.2,25.6,18.8,15.9,-8.6,5.1,390000000000.0,1.0,91232718.04406545,-121808952.32762243,-791.964320641978
366,2013-07-27 08:30:36,0.3,156.2,26.5,22.1,16.0,14.9,-3.3,120000000000.0,0.36,85559348.98391978,-125888883.60612166,-15695.126127265032
372,2013-04-30 08:40:38,35.5,-30.7,21.2,12.1,1.0,9.0,-8.0,5110000000000.0,10.0,-115573965.51812303,-97188538.61802109,-11597.694823918893
373,2013-04-21 06:23:12,-28.1,-64.6,40.7,14.9,5.0,14.0,1.0,1066000000000.0,2.5,-128789167.96335751,-78071829.90412512,-6105.79305340938
376,2013-02-15 03:20:33,54.8,61.1,23.3,18.6,12.8,-13.3,-2.4,375000000000000.0,440.0,-123260123.63851789,81382559.52400665,-11894.322854099075
382,2012-11-20 20:37:31,2.5,29.6,33.3,14.3,-12.2,-5.3,5.3,25000000000.0,0.089,76440544.0599962,125974746.9244892,-13776.046379215531
385,2012-10-19 16:26:22,-75.4,49.6,29.3,13.2,-2.3,-3.9,12.4,23000000000.0,0.082,133066063.2867783,66123874.07706118,-13164.872594875773
386,2012-10-09 00:54:55,51.2,-84.6,27.8,13.5,3.4,12.0,5.1,210000000000.0,0.58,143399321.10367668,40735773.615143806,-4103.4826019906905
388,2012-10-02 16:38:38,-8.1,-111.9,35.0,15.4,1.4,15.3,1.0,470000000000.0,1.2,147283725.94142914,24866417.635570303,842.4520304312384
390,2012-09-18 19:34:39,1.2,-52.2,28.1,18.3,-1.9,14.1,-11.5,244000000000.0,0.67,149657306.7785741,-10573127.95928585,-13207.056811831895
392,2012-09-10 01:03:32,-69.8,-111.7,23.8,16.9,-10.2,-5.2,12.4,23000000000.0,0.082,146791349.3756013,-32814552.291773137,6511.710994185536
393,2012-08-27 06:57:43,-18.3,64.2,38.7,28.9,-8.0,-23.7,-14.5,68000000000.0,0.22,135812597.71541572,-66060347.89434618,-10163.84647587939
394,2012-08-26 14:55:47,11.8,117.0,36.0,12.7,5.0,-11.6,-0.7,249000000000.0,0.68,135070938.90931183,-67591971.90839444,-3545.124602735586
397,2012-07-25 07:48:20,36.4,41.5,26.8,18.5,0.8,2.0,-18.4,133000000000.0,0.39,81507530.78299044,-128341296.50154862,-13307.268826637235
401,2012-05-15 11:04:17,-61.8,-135.5,33.3,17.1,-0.8,1.1,17.0,132000000000.0,0.39,-87496890.02086289,-123907450.90812653,6790.430868645433
407,2012-03-12 06:40:44,2.5,139.8,25.0,11.8,0.1,-11.8,0.3,99000000000.0,0.3,-147626578.73576283,20665638.738656756,-266.62322383005676
414,2012-02-04 14:42:51,32.4,0.1,34.2,12.2,-3.9,10.9,4.0,150000000000.0,0.43,-104741196.0640703,104060637.82747078,-2534.545004273473
415,2012-01-15 12:26:20,-64.1,109.9,26.3,12.3,-1.9,5.1,11.0,21000000000.0,0.076,-61664603.71986436,133618210.462437,1826.4507913045518
422,2011-09-13 23:36:47,-19.9,-13.8,21.3,16.7,-3.7,1.8,16.2,67000000000.0,0.21,147968902.634394,-24544541.350249108,11555.467177228798
433,2011-05-25 05:40:02,4.1,14.0,59.0,11.6,-3.4,-10.8,2.4,2280000000000.0,4.8,-68130876.83480331,-135653077.8691252,9273.185729408198
439,2011-04-06 08:30:55,71.1,-43.5,22.2,12.7,3.3,11.8,-3.5,148000000000.0,0.43,-144461591.34607476,-41320423.24845744,247.8725329637038
443,2011-03-01 10:37:54,53.5,103.9,30.6,11.9,-6.7,-1.1,-9.8,37000000000.0,0.13,-140181065.92248634,49952264.08037998,-3892.681023905875
444,2011-02-21 05:07:03,26.3,43.7,44.4,18.0,10.3,-14.8,0.1,39000000000.0,0.13,-131307789.07509743,69403899.08658223,2733.66555464613
448,2010-12-25 23:24:00,38.0,158.0,26.0,18.1,18.0,-2.0,-4.0,20000000000000.0,33.0,-10626632.363874631,146908328.65708035,-11948.730258399906
463,2010-09-03 12:04:58,-61.0,146.7,33.3,12.3,9.8,-3.5,6.5,1750000000000.0,3.8,141823803.0167347,-49571045.01688785,8971.388126659502
468,2010-07-06 23:54:43,-34.1,-174.5,26.0,15.7,12.1,10.0,0.2,7560000000000.0,14.0,37829676.6888522,-146888343.88913336,9471.170128978132
473,2010-04-16 04:38:52,1.8,-176.9,22.2,18.8,12.4,-13.2,-5.2,844000000000.0,2.0,-135600707.78212175,-65327395.07711438,4095.0277459020776
479,2010-03-08 22:02:07,32.0,-92.9,52.0,24.5,19.1,11.0,10.7,323000000000.0,0.85,-145906666.17429602,31090993.070365693,9457.551137383913
480,2010-02-28 22:24:50,48.7,21.0,37.0,15.1,-11.7,2.7,-9.1,153000000000.0,0.44,-139911808.86747757,50909014.81477069,-6596.984361288055
483,2010-01-15 19:17:54,-8.3,27.0,25.0,14.0,-9.1,6.0,8.8,492000000000.0,1.2,-63661052.79716166,133375341.2891423,4027.4685799014433
487,2009-11-21 20:53:00,-22.0,29.2,38.0,32.1,3.0,-17.0,27.0,10000000000000.0,18.0,74389603.11941582,127833845.70697993,23970.469260613074
494,2009-10-08 02:57:00,-4.2,120.6,19.1,19.2,14.0,-16.0,-6.0,20000000000000.0,33.0,143998713.11449075,38751820.208024114,1080.7342690137862
497,2009-09-04 02:23:18,42.5,110.0,28.3,24.0,19.2,-11.6,-8.5,965000000000.0,2.3,142638884.29711637,-47200097.1663148,-5081.0330551719
498,2009-08-23 21:17:19,-67.7,18.3,34.0,12.2,-6.9,5.3,8.5,280000000000.0,0.75,131437917.87860595,-73426505.76294354,5782.617501698327
502,2009-06-27 13:08:05,-26.6,-12.6,26.1,15.2,-11.6,1.6,9.7,32000000000.0,0.11,15108284.803027892,-150706728.7281129,-4302.582027636078
510,2009-04-10 18:42:45,-44.7,25.7,32.4,19.1,-18.9,2.6,0.3,270000000000.0,0.73,-140443533.65238097,-52829978.31563059,3979.2889688560977
515,2009-02-07 19:51:32,56.6,69.8,40.0,15.4,-2.4,-1.9,-15.1,1600000000000.0,3.5,-111777872.97137947,97378635.76808451,-6503.773061254602
518,2008-12-24 15:51:58,-68.9,-102.0,21.1,24.1,-13.4,18.0,8.8,35000000000.0,0.12,-8228456.730584637,147615963.5262735,-9216.390296928987
521,2008-11-24 22:01:19,-57.9,146.1,34.8,23.7,21.5,10.0,0.4,146000000000.0,0.42,67061210.126648985,132126945.5017056,-17527.306122745318
522,2008-11-21 00:26:44,53.1,-109.9,28.2,12.9,3.9,-4.1,-11.6,142000000000.0,0.41,75987497.92673118,127268923.27289586,-14927.437034161772
523,2008-11-18 09:41:51,-29.4,75.9,35.2,22.4,-4.0,-15.2,-16.0,25000000000.0,0.089,81777323.38588645,123696063.83707877,-26964.042574365085
525,2008-10-21 02:20:25,32.8,-165.6,29.6,11.3,9.6,5.8,1.5,46000000000.0,0.15,131316187.19784108,70454171.10376815,-11926.997384549113
527,2008-10-07 02:45:45,20.9,31.4,38.9,13.3,-9.0,9.0,3.8,395000000000.0,1.0,144766001.84535372,37075997.98548675,-3085.1961109360263
531,2008-08-07 06:07:10,18.5,180.0,45.4,13.8,6.5,-12.1,1.7,41000000000.0,0.14,107062750.7706763,-106582708.04544507,-2436.296039333971
532,2008-07-23 14:45:25,38.6,68.0,31.5,14.5,-7.7,-8.2,-9.1,121000000000.0,0.36,78046541.83526494,-129557836.36518928,-6150.184250097189
535,2008-07-08 15:55:30,72.8,147.3,52.2,21.7,-12.9,1.9,-17.4,66000000000.0,0.21,43599192.2033489,-144943846.82245332,-15039.025956575344
536,2008-07-01 17:40:19,37.1,-115.7,36.1,9.8,2.8,1.7,-9.2,36000000000.0,0.12,26552863.268782724,-149004616.1681331,-1593.4760868815997
537,2008-06-27 02:01:23,-26.9,-17.7,33.7,23.1,-17.9,13.0,6.6,172000000000.0,0.49,14888142.55193418,-150585493.57219785,-670.9277427400824
540,2008-05-24 10:18:10,0.8,162.0,37.0,14.2,7.9,3.1,11.4,150000000000.0,0.43,-67740099.4886521,-134837038.21619168,213.08037741734108
547,2008-03-15 11:29:55,28.0,-41.5,26.7,12.9,-4.1,4.8,-11.2,50000000000.0,0.16,-148313402.323676,13362214.025889196,-11861.246610128357
551,2008-02-17 12:19:16,74.9,-73.4,40.4,13.9,-5.8,-10.7,-6.7,110000000000.0,0.33,-125504109.48567313,78870824.51059486,-11777.905109515976
554,2008-01-09 03:53:15,-66.8,-67.3,31.5,11.6,4.3,5.7,9.1,41000000000.0,0.14,-45747885.56315425,140544696.08799312,-9126.781266505908
558,2007-10-12 09:14:03,88.5,116.6,37.0,18.4,-4.5,-14.1,-10.9,33000000000.0,0.11,141662338.76784733,48235892.05465462,-23660.22575105843
560,2007-09-22 17:57:12,-49.2,-85.5,30.2,16.9,-9.2,13.6,3.8,237000000000.0,0.65,150267560.05696824,-1275046.596479858,-10640.387845137213
561,2007-06-11 09:47:05,-23.4,-170.9,35.2,17.0,16.7,-2.1,-2.2,49000000000.0,0.16,-26141632.16869794,-148884348.02353108,-11584.803573445699
567,2007-04-18 12:44:23,-83.7,-171.2,38.0,24.4,-5.3,-2.5,23.7,112000000000.0,0.33,-132356236.63826735,-69839677.3113838,1208.4230210929268
569,2007-03-17 06:48:35,7.1,4.1,32.5,14.5,-7.3,-1.9,-12.4,40000000000.0,0.13,-148220516.90916425,10548055.55479594,-23785.395626017165
574,2007-01-22 07:24:56,45.4,53.5,32.0,13.4,-3.3,-12.8,-1.9,76000000000.0,0.24,-77196649.8540152,125791441.70613743,-23447.903491483336
578,2006-12-09 06:31:12,26.2,26.0,26.5,15.9,4.9,-15.0,1.6,7410000000000.0,14.0,33682153.765829,144141690.39149767,-20550.727780526882
583,2006-10-14 18:10:49,49.4,-175.0,44.4,23.9,4.9,23.4,-1.0,258000000000.0,0.7,139579228.21821067,54419300.32350692,-18578.43767965299
590,2006-09-02 04:26:15,-14.0,109.1,44.1,14.2,10.0,-9.9,1.5,1230000000000.0,2.8,141818322.51582456,-52382869.28437136,-10857.271341197586
596,2006-07-15 23:55:45,-78.3,-5.0,29.6,12.4,0.1,2.0,12.2,85000000000.0,0.26,60486473.95878329,-139208664.67223722,-20895.337012299125
597,2006-07-15 15:22:49,31.1,45.6,38.9,30.2,9.2,-1.2,-28.7,163000000000.0,0.47,59653430.32866012,-139574117.73969448,-38632.831219895335
598,2006-06-07 00:06:28,69.2,22.5,40.7,19.6,6.1,4.6,-18.0,59000000000.0,0.19,-36126905.19888821,-146870522.28309238,-25626.017893796638
609,2006-02-04 08:38:05,36.9,-143.6,38.9,19.8,-8.8,3.4,-17.4,100000000000.0,0.3,-104248768.4759529,104110028.70630713,-35142.86011955446
610,2006-01-28 03:33:48,-51.7,56.4,37.0,18.7,8.4,-16.4,3.2,740000000000.0,1.8,-90092743.92111689,116504160.43356286,-23166.19031473576
613,2006-01-10 23:25:28,29.8,-12.7,32.4,16.9,-9.9,-6.3,-12.2,28000000000.0,0.098,-50938516.64596224,138136424.60789648,-23048.101755281416
615,2005-12-29 10:05:35,-3.0,-154.9,42.2,20.7,18.6,8.5,3.2,190000000000.0,0.53,-19137197.871422175,146108687.9319908,-34896.892102041034
617,2005-12-03 12:45:49,-33.8,117.4,32.2,17.0,-12.1,-9.6,7.2,88000000000.0,0.27,47699071.8041513,140042777.5350305,-19396.58040930312
622,2005-11-09 07:33:08,-31.0,145.9,30.7,13.8,13.5,-2.7,-0.7,73000000000.0,0.23,101810425.32668012,108496895.16002981,-18463.229411145145
630,2005-08-09 14:35:45,-21.5,56.2,37.0,16.9,-16.3,4.3,1.4,25000000000.0,0.089,111576313.23117517,-103215678.88582616,-13367.938288611547
634,2005-06-03 08:15:41,-31.0,-90.3,29.6,26.2,-1.5,25.3,6.7,82000000000.0,0.25,-44299172.132192075,-144807023.91752985,-7373.2300256260005
637,2005-05-07 09:31:44,-75.8,163.7,15.2,16.6,9.6,-9.7,9.4,26000000000.0,0.092,-102609357.2523212,-110038856.60890342,-6341.30179789689
640,2005-04-19 07:37:47,-50.2,-146.4,38.5,16.8,9.3,13.8,2.5,232000000000.0,0.64,-130425817.69195147,-73391665.39622709,-13805.665103498184
658,2005-01-02 23:09:51,-21.3,154.7,35.2,21.5,20.2,-3.3,6.6,119000000000.0,0.35,-31423903.289790373,143525914.02900034,-14499.247483734314
667,2004-10-07 13:14:43,-27.3,71.5,35.0,19.2,-15.3,1.0,11.6,10400000000000.0,18.0,145336857.5444602,37393559.11021025,-8788.409668412905
680,2004-06-05 20:34:10,1.3,-174.4,43.0,19.5,9.4,17.0,-1.5,1810000000000.0,3.9,-37602711.96914291,-147206131.01518407,-5780.488510739824
689,2004-04-22 04:21:49,-44.3,83.3,29.6,16.3,8.5,-12.1,-6.8,624000000000.0,1.5,-126530711.22721902,-80722233.13646229,-14500.089157663799
690,2004-04-06 03:24:49,-12.0,162.8,35.0,25.6,10.5,-23.2,-2.9,433000000000.0,1.1,-142925686.54945782,-43117494.205272496,-13279.068147826723
701,2003-11-10 13:54:06,-64.5,136.2,23.0,20.1,14.8,-8.7,10.4,518000000000.0,1.3,100192668.4746973,109084399.00333229,3063.2038084772153
706,2003-09-27 12:59:02,21.0,86.6,26.0,18.2,-1.0,-5.4,-17.3,2150000000000.0,4.6,150037566.61423284,9829123.867552187,-19851.644373651216
866,1998-01-04 23:00:27,-35.1,33.4,30.0,17.1,6.0,-10.6,12.0,74000000000.0,0.23,-37798967.01382953,143000535.01877326,36108.200506916866
